study_type,poverty_context,mechanism,behavior,title,date
"Observational, Case-study","Low resource level, Physical environment","Aspirations, Locus of control",Educational achievement,Poverty and Inequality in the Niger Delta: Is National Economic Empowerment and Development Strategy the Answer?,2007
Observational,Low resource level,"Stress, Internalized stigma",Food diet,Nutritional Epidemiology of Chronic Disease and Defining “Healthy Diet”,2018
"Observational, Interviews","Low resource level, Social environment",Self-efficacy,Educational achievement,Moving From the Margins: Culturally safe teacher education in remote northwestern British Columbia,2013
"Observational, Case-study","Low resource level, Social environment","Aspirations, Self-efficacy",Consumption,Roman Taste,2005
"Observational, Cross-sectional",Low resource level,Locus of control,Medication adherence,Ideology versus Ethicality in the Enactment of Obamacare: Justice and Autonomy as Contested Issues,2021
"Difference-in-difference, Observational, Interviews","Low resource level, Physical environment","Aspirations, Locus of control","Consumption, Investing",Can large-scale land acquisition deals improve livelihoods and lift people out of poverty in Sub-Saharan Africa? Empirical evidence from Tanzania,2021
"Observational, Difference-in-difference",Low resource level,"Stress, Risk preferences","Consumption, Saving","CHALLENGES IN MANAGEMENT OF OLDER PERSONS CASH TRANSFER PROGRAMME IN KENYA. CASE STUDY OF MINISTRY OF LABOUR, SOCIAL SECURITY AND SERVICES",2015
"Observational, Ethnography, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,The Report: A Strategy and Nonprofit Public Good,2019
"Observational, Longitudinal / Panel",Low resource level,Stress,Medication adherence,Low socio‐economic status adversely effects dialysis survival in Australia,2017
"Interviews, Observational",Low resource level,"Aspirations, Locus of control",Family interaction,"Something Old, Something New: Marital Roles and Relations in State Socialist Romania",2010
"Interviews, Observational","Low resource level, Human capital inputs","Internalized stigma, Self esteem",Educational achievement,African American Homeschooling and the Question of Curricular Cultural Relevance,2013
"Observational, Cross-sectional",Low resource level,"Cognitive flexibility, Fluid intelligence",Educational achievement,"Literacy as a Unidimensional Multilevel Construct: Validation, Sources of Influence, and Implications in a Longitudinal Study in Grades 1 to 4",2005
Regression discontinuity,"Low resource level, Human capital inputs","Executive function, Fluid intelligence",Educational achievement,An effectiveness‐based evaluation of five state pre‐kindergarten programs,2007
"Ethnography, First-hand observations",Low resource level,"Aspirations, Self-efficacy","Educational achievement, Family interaction",Enabling occupational participation and social inclusion for people recovering from mental ill‐health through community gardening,2015
Observational,"Low resource level, Resource volatility","Attention, Stress",Medication adherence,Association of Area-Level Socioeconomic Deprivation With Hypoglycemic and Hyperglycemic Crises in US Adults With Diabetes,2022
"Ethnography, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,The public health role of caseloading midwives in advancing health equity in childbearing women and babies living in socially deprived areas in England: The Mi-CARE Study protocol,2022
"Observational, Cross-sectional",Low resource level,Time preferences,"Consumption, Investing",New Middle-Class Consumers in Rising Powers: Responsible Consumption and Private Standards,2013
"Observational, Longitudinal / Panel",Low resource level,Executive function,Educational achievement,Electronic Infrastructure and the Sustainable Development of Business Education Programmes in the 21st Century,2023
"Observational, Systematic review","Low resource level, Physical environment","Stress, Time preferences",Consumption,"Regulatory planning and affordable housing in Kigali City: policies, challenges and prospects",2019
"Observational, Interviews",Social environment,"Self-efficacy, Self esteem",Parenting,Involving Roma parents: analysing the good practice of a primary school in Ghent,2015
"Observational, Cross-sectional",Low resource level,"Self-efficacy, Self esteem",Labor Supply,Clerical Turnover in the K–12 Campus Office,2021
"Observational, Cross-sectional",Low resource level,"Aspirations, Time preferences",Occupational choice,Low-wage employment,2021
Observational,"Low resource level, Resource volatility",Aspirations,Labor Supply,Urban Youth Unemployment in Africa: Whither Socio-Economic Problems,2014
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress",Crime,Understanding crime using GIS and the context of COVID-19: the case of Saldanha Bay Municipality,2022
"Observational, Instrumental variable design",Low resource level,"Executive control, Executive function","Educational achievement, Crime",The Effects of Assisted Housing on Child Well‐Being,2016
"Difference-in-difference, Observational","Low resource level, Social environment","Stress, Self-efficacy",Educational achievement,Reaching Teen Farm Workers with Health and Safety Information: An Evaluation of a High School ESL Curriculum,2008
"Observational, Longitudinal / Panel",Low resource level,Stress,Investing,"An Analytical Assessment of Financial Crisis in Developing Countries, Its Effects, Consequences and Implications",2020
"Observational, Interviews","Low resource level, Physical environment","Aspirations, Locus of control",Food diet,SUSTAINABLE DEVELOPMENT GOAL 2: EXPLORING BANDURA’S TRIADIC MODEL FOR BEHAVIOURAL CHANGE AMONG URBAN PRIMARY SCHOOL STUDENTS.,2023
"Observational, Ethnography","Low resource level, Social environment","Anxiety, Stress",Crime,Local Utopia as Unobtrusive Resistance: The Greek Village Micro-Economy,2012
"Difference-in-difference, Observational",Low resource level,"Stress, Time preferences","Consumption, Saving","The Social Sustainability of Public Debt in the Framework of Middle East and North African Countries: Egypt, Lebanon, Morocco, Tunisia, and Turkey",2020
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress","Consumption, Educational achievement",Does Parental Health Mediate the Relationship between Parental Uninsurance and Insured Children's Health Outcomes? Evidence from a U.S. National Survey,2017
"Observational, Cross-sectional",Low resource level,Risk preferences,Occupational choice,The curse of coal or peripherality? Energy transitions and the socioeconomic transformation of Czech coal mining and post-mining regions,2022
"Observational, Case-study, Ethnography","Low resource level, Social environment","Anxiety, Stress, Internalized stigma","Crime, Violence","Violence, Identity and (In)security: Experiencing the Maoist Insurgency in Peru",2009
"Observational, Interviews","Low resource level, Physical environment, Social environment","Anxiety, Stress, Internalized stigma, Locus of control","Crime, Violence","Fraternity, Martyrdom and Peace in Burundi: The Forty Servants of God of Buta",2021
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress",Crime,Analysis of driver behaviours towards road safety measures using DBQ in the Indian context,2021
Observational,"Low resource level, Resource volatility","Self-efficacy, Time preferences",Food diet,Factors Affecting Rural Households’ Resilience to Food Insecurity in Niger,2016
"Observational, Cross-sectional","Low resource level, Resource volatility",Stress,"Consumption, Food diet",Prevalence of Food Insecurity and Health-Associated Outcomes and Food Characteristics of Northern Plains Indian Households,2007
"Randomized (controlled) trial, Observational","Low resource level, Physical environment","Stress, Risk preferences",Food diet,"Farming systems in sheep rearing: Impact on growth and reproductive performance, nutrient digestibility, disease incidence and heat stress indices",2021
"Observational, Cross-sectional","Low resource level, Social environment","Attention, Executive control, Executive function, Anxiety, Stress, Aspirations, Locus of control, Time preferences","Consumption, Occupational choice, Educational achievement","The Oxford Handbook of Urban Economics and Planning, edited by NancyBrooks, KieranDonaghy, and Gerrit‐JanKnaap. 2012. New York: Oxford University Press. 1006 + xx. ISBN 978‐0‐19‐538062‐0, $175.",2013
Observational,"Low resource level, Resource volatility",Time preferences,Consumption,Are Australian Aboriginal Communities Adapting to a Warmer Climate? A Study of Communities Living in Semi-Arid Australia,2016
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy",Family interaction,The political consciousness in contemporary fiction with reference to Amitav Ghosh's The Hungry Tide and The Sea of Poppies,2022
Observational,Low resource level,"Self-efficacy, Time preferences",Occupational choice,Job Quality Indicators and Perceived Job Quality: The Moderating Roles of Individual Preferences and Gender,2020
Randomized (controlled) trial,Low resource level,Self-efficacy,Parenting,Population-Based Prevention of Child Maltreatment: The U.S. Triple P System Population Trial,2009
"Ethnography, Observational","Low resource level, Social environment","Internalized stigma, Locus of control",Family interaction,Uncivil society: the politics of <scp>HIV</scp> activism in <scp>P</scp>akistan,2014
Observational,Low resource level,Risk preferences,Borrowing,Geographers And Drugs: A Survey Of The Literature,2013
"Interviews, Focus groups","Low resource level, Physical environment","Aspirations, Self-efficacy",Food diet,"Health Promotores' Perceptions of their Communities' Health Needs, Knowledge, and Resource Needs in Rural Nicaragua",2012
Observational,"Low resource level, Resource volatility, Physical environment","Stress, Locus of control",Occupational choice,"Liberia rising? Foreign direct investment, persistent inequalities and political tensions",2016
Observational,Low resource level,Aspirations,Labor Supply,The origins and future of Egypt's revolt,2010
"Observational, Interviews","Low resource level, Human capital inputs",Internalized stigma,Labor Supply,Socio-Cultural Challenges of Small and Medium-Scale Batik and Tie-Dye Industry in Ghana,2022
"Observational, Systematic review",Low resource level,Self-efficacy,Consumption,"Cash transfers, social protection and poverty reduction",2011
Randomized (controlled) trial,Low resource level,Self-efficacy,"Food diet, Educational achievement",Effectiveness of differing levels of support for family meals on obesity prevention among head start preschoolers: the simply dinner study,2017
"Observational, Ethnography","Low resource level, Resource volatility","Locus of control, Risk preferences",Crime,Negotiation of Legitimacy of Witch-Finders in Lusaka,2017
"Randomized (controlled) trial, Observational, Longitudinal / Panel","Low resource level, Social environment","Aspirations, Self-efficacy","Consumption, Educational achievement","Potential effectiveness of Community Health Strategy to promote exclusive breastfeeding in urban poor settings in Nairobi, Kenya: a quasi-experimental study",2015
"Observational, Longitudinal / Panel",Low resource level,Stress,Educational achievement,Influence of early regulatory problems in infants on their development at 12 months: a longitudinal study in a high-risk sample,2013
"Ethnography, Observational",Low resource level,"Anxiety, Locus of control",Educational achievement,"State disinvestment, technologies of choice and ‘fitting in’: neoliberal transformations in US public education",2017
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Self-efficacy, Self esteem",Educational achievement,Self-Worth as a Mediator and Moderator Between Teacher-Student Relationships and Student Engagement in Rural Schools,2022
Observational,Low resource level,"Anxiety, Stress",Consumption,"Beyond ‘Run, Knit and Relax’: Can Health Promotion in Canada Advance the Social Determinants of Health Agenda?",2013
"Observational, Cross-sectional","Low resource level, Social environment","Self-efficacy, Aspirations",Occupational choice,A REGIONAL COMPARISON OF THE MOTIVATION AND PROBLEMS OF VIETNAMESE ENTREPRENEURS,2005
Observational,Low resource level,Risk preferences,"Borrowing, Saving",Assessing the Institutional Outreach and Sustainability of Micro Finance Institutions in Ethiopia: Evidence from Omo Microfinance Institution Hawassa Branch,2020
Cross-sectional,Low resource level,"Anxiety, Depression",Educational achievement,Use of latent profile analysis and k-means clustering to identify student anxiety profiles,2022
"Observational, Cross-sectional, Interviews","Low resource level, Social environment","Self-efficacy, Insufficient info",Educational achievement,How does leadership affect student achievement? Results from a national US survey,2010
Observational,Low resource level,Self-efficacy,Occupational choice,Research on the Employment Effect of Non-Governmental Organizations on the Employment of Disabled People in China,2022
"Observational, Interviews","Low resource level, Social environment","Internalized stigma, Self esteem",Family interaction,Feminism between modern literature and literature in ancient times,2017
"Observational, Interviews",Social environment,"Aspirations, Self-efficacy",Educational achievement,‘British Values Are Also Values All Around the World’: Teaching Fundamental British Values through a Human Rights Lens,2020
"Observational, Interviews",Social environment,"Aspirations, Self-efficacy",Educational achievement,Collective Action on Campus Toward Student Development and Democratic Engagement,2014
"Observational, Longitudinal / Panel",Low resource level,"Happiness, Stress",Consumption,"Happiness, Deprivation and the Alter Ego",2009
"Observational, Longitudinal / Panel",Low resource level,"Executive function, Self-efficacy",Labor Supply,Productive Employment for Inclusive and Sustainable Development in European Union Countries: A Multivariate Analysis,2019
"Observational, Case-study, Interviews","Low resource level, Social environment","Internalized stigma, Self esteem",Educational achievement,A Call for Onto-Epistemological Diversity in Early Childhood Education and Care: Centering Global South Conceptualizations of Childhood/s,2017
Observational,"Low resource level, Human capital inputs","Aspirations, Locus of control",Labor Supply,"Social Networks, Female Unemployment, and the Urban-Rural Divide in Turkey: Evidence from Tree-Based Machine Learning Algorithms",2021
Observational,"Low resource level, Resource volatility","Aspirations, Locus of control",Occupational choice,"Conservative outlook, gender norms and female wellbeing: Evidence from rural Bangladesh",2018
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Social environment","Anxiety, Depression, Stress","Consumption, Labor Supply",Homelessness in a Scandinavian welfare state: The risk of shelter use in the Danish adult population,2015
Difference-in-difference,"Low resource level, Resource volatility",Time preferences,Food diet,Assessing the effect of changes in housing costs on food insecurity,2009
"Ethnography, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy","Educational achievement, Parenting",Preparing Community-Oriented Teachers,2005
Observational,Low resource level,Risk preferences,Investing,Gender accessibility to credit among entrepreneurs,2022
"Observational, Interviews","Low resource level, Human capital inputs","Self-efficacy, Self esteem",Educational achievement,Quality Management and Best Practices: An Experiential Learning Model for Higher Education with a special reference to Laxmi Memorial Education Trust,2018
Observational,Low resource level,Time preferences,Consumption,Impact analysis of bilateral trade openness and income inequality based on the system GMM method: A case study of transnational dynamic panel data,2024
Observational,Low resource level,"Anxiety, Stress, Self-efficacy",Parenting,"Challenging Behaviour in Looked after Young People, Feelings of Parental Self-Efficacy and Psychological Well-Being in Foster Carers",2011
"Observational, Interviews",Low resource level,Self-efficacy,Consumption,Financial Education and Financial Access: Lessons Learned from Child Development Account Research,2013
"Observational, Longitudinal / Panel",Low resource level,Risk preferences,Consumption,Potential National and State Medical Care Savings From Primary Disease Prevention,2010
"Observational, Systematic review",Low resource level,Self-efficacy,Medication adherence,Promoting Tobacco Cessation in a Community-Based WomenÂ’s Health Centre,2015
"Observational, Interviews, Focus groups","Low resource level, Social environment","Anxiety, Depression, Stress","Family interaction, Parenting",The Necessity for a Needs Assessments towards Meeting the Needs of Grandparents Caring for Grandchildren Orphaned by Aids,2021
Observational,Low resource level,Time preferences,Consumption,Cost Plus,2008
Longitudinal / Panel,Low resource level,Stress,Educational achievement,Socioeconomic indicators as predictors of smoking cessation among Spanish-Speaking Mexican Americans,2017
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs, Social environment","Cognitive flexibility, Executive control, Memory",Educational achievement,Los Efectos de la Instrucción Diferenciada en el Proceso de Lectoescritura de los Estudiantes con Escolaridad Interrumpida,2014
"Ethnography, Observational","Low resource level, Social environment","Internalized stigma, Stress, Locus of control",Labor Supply,The Islamic Spirit of Capitalism: Moroccan Islam and its Transferable Cultural Schemas and Values,2010
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy",Occupational choice,Problems and Prospects of Women Entrepreneurship in Nepal,2022
"Observational, Cross-sectional","Low resource level, Human capital inputs","Self-efficacy, Self esteem",Educational achievement,Setting a Standard for Chemistry Education in the Next Generation: A Retrosynthetic Analysis,2016
"Observational, Interviews, Focus groups","Low resource level, Social environment","Aspirations, Internalized stigma, Locus of control","Educational achievement, Parenting",Cultural Pedogamy: Towards an Eco-Cultural Theory of Early (Child) Marriage,2022
"Observational, Cross-sectional","Low resource level, Physical environment",Internalized stigma,Consumption,Path Dependency and the Neighbourhood Effect: Urban Poverty in Impoverished Neighbourhoods in Chinese Cities,2010
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,Investing,"Framing hydropower as green energy: assessing drivers, risks and tensions in the Eastern Himalayas",2015
"Observational, Interviews",Human capital inputs,"Anxiety, Internalized stigma",Educational achievement,Theorizing Professionalism and Morals Principles in Inclusive Education,2020
"Observational, Interviews","Low resource level, Resource volatility","Aspirations, Self-efficacy",Educational achievement,"Conversion, Evangelism and Market",2008
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress",Violence,"Associations between intimate partner violence and reproductive and maternal health outcomes in Bihar, India: a cross-sectional study",2018
Observational,Low resource level,"Anxiety, Stress",Parenting,Psychophysiological correlates of parenting behavior in mothers of young children,2009
Observational,Low resource level,Time preferences,Saving,Examining U.S. Millennial Retirement Plan Participation Decisions: The Roles of Employer Contributions and Automatic Enrollment,2024
"Observational, Cross-sectional","Low resource level, Social environment","Internalized stigma, Stress, Risk preferences","Violence, Crime","Sarah J. Jackson. <i>Black Celebrity, Racial Politics, and the Press: Framing Dissent</i>",2015
"Observational, Ethnography","Low resource level, Social environment","Aspirations, Self-efficacy",Consumption,Going beyond efficiency: including altruistic motives in behavioral models for sustainability transitions to address sufficiency,2014
"Regression discontinuity, Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Aspirations, Locus of control",Educational achievement,Jim Crow and Black Economic Progress After Slavery,2024
"Observational, Cross-sectional",Low resource level,"Time preferences, Risk preferences",Consumption,Consumption Nature of Indian Informal Workers: Engel’s Law Revisited,2022
"Observational, Cross-sectional","Low resource level, Human capital inputs","Stress, Self-efficacy",Educational achievement,Child's well-being and parents' employment status in Nigeria,2021
Observational,Low resource level,Self-efficacy,Parenting,Pushing Forward: Examining Client Motivation in a Family Treatment Drug Court,2014
"Observational, Longitudinal / Panel",Low resource level,"Stress, Time preferences","Consumption, Occupational choice, Educational achievement",Use of Life Course Work–Family Profiles to Predict Mortality Risk Among US Women,2015
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress","Crime, Violence",Lifestyles and routine activities of South African teenagers at risk of being trafficked for involuntary prostitution,2010
"Observational, Case-study","Low resource level, Physical environment","Anxiety, Stress, Internalized stigma","Crime, Violence",Mirroring the Conflict Situation of the Oil-rich Niger Delta Region of Nigeria on the Screen: A Thematic Analysis of the Film - Black November,2020
"Observational, Cross-sectional, Longitudinal / Panel",Low resource level,"Attention, Memory",Food diet,Cooking Frequency and Perception of Diet among US Adults Are Associated with US Healthy and Healthy Mediterranean-Style Dietary Related Classes: A Latent Class Profile Analysis,2020
"Observational, Longitudinal / Panel","Low resource level, Resource volatility, Human capital inputs","Aspirations, Self-efficacy",Occupational choice,Individual-level Employment Transitions in Rural Viet Nam,2020
"Observational, Ethnography, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,“Putting Food back on the table”: Decolonising towards a Sustainable University that Feeds Us in South Africa,2018
"Observational, Longitudinal / Panel","Low resource level, Resource volatility","Anxiety, Depression, Stress",Crime,Rural Poverty Alleviation Strategy in Nigeria,2021
"Meta-analysis, Observational",Low resource level,"Anxiety, Stress",Crime,Revisiting the Income Inequality-Crime Puzzle,2024
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress",Exercise,Social and Environmental Influences on Physical Activity Levels in Latina Adolescents,2016
"Observational, Cross-sectional","Low resource level, Resource volatility, Physical environment","Stress, Locus of control","Consumption, Saving","Water as Foe, Water as Friend",2007
"Observational, Interviews",Human capital inputs,Internalized stigma,Educational achievement,Gender Sensitivity in Textbooks in Secondary Education in Bhutan,2021
"Observational, Interviews, Focus groups","Low resource level, Social environment","Anxiety, Stress","Consumption, Medication adherence",Improving Outcomes from Breast Cancer in a Low-Income Country: Lessons from Bangladesh,2011
"Observational, Interviews, Focus groups","Low resource level, Resource volatility, Social environment","Anxiety, Stress","Consumption, Labor Supply","Assessment of Challenges of Development Induced Displaced Households: In Case of Dambi Dollo University and Airport Project, Qellem Wollega Zone of Oromia Regional state, Ethiopia",2020
"Observational, Interviews, Focus groups","Low resource level, Physical environment","Stress, Locus of control","Consumption, Insufficient info","Environmental Factors Influencing the Sustenance of the Camel Milk Value Chain in Isiolo County, Northern Kenya",2022
"Observational, First-hand observations, Interviews",Low resource level,Self-efficacy,"Borrowing, Investing","A Comparative Analysis of the Programmes and Operations of Non-Formal Islamic Micro-Finance Institutions in Ogun State, Nigeria",2022
"Observational, Case-study, Interviews","Low resource level, Social environment","Anxiety, Stress","Consumption, Insufficient info",COVID in Colombia: A Crisis of Governability and Response,2021
"Observational, Ethnography","Low resource level, Physical environment","Attention, Stress, Aspirations",Family interaction,Care for the Family and the Environment in China's Coal Country,2023
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy, Self esteem","Educational achievement, Family interaction",Development Of Social Activity And Civic Engagement Among Israeli Students,2021
"Observational, Cross-sectional","Low resource level, Human capital inputs","Stress, Time preferences",Educational achievement,Student employment in France: Hindrance rather than help for higher educational success?,2021
Observational,Low resource level,"Aspirations, Self-efficacy","Educational achievement, Investing",Income inequality and social origins,2021
"Observational, Cross-sectional","Low resource level, Resource volatility",Risk preferences,Crime,Factors related to HIV infection among unmarried youth in rural areas of Southwest China,2018
"Observational, Interviews",Low resource level,Locus of control,Labor Supply,FOSTER CARE: YES OR NO? THE DECISION-MAKING PROCESSES OF SOCIAL WORKERS RENDERING FOSTER CARE SERVICES,2023
Observational,Low resource level,Time preferences,Investing,Foreign Aid Transaction Costs: What Are They and When Are They Minimised?,2012
"Observational, Interviews","Low resource level, Resource volatility","Happiness, Stress, Aspirations","Consumption, Food diet",Gastronomic Nostalgia: Salvadoran Immigrants' Cravings for Their Ideal Meal,2012
Interviews,"Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Learner pregnancy in South Africa’s Eastern Cape: The Factors affecting adolescent girls' school withdrawal during pregnancy,2021
Case-study,Low resource level,Internalized stigma,Educational achievement,Multiple discrimination and the risk of cultural impoverishment. Considerations regarding the pedagogical challenges of the complex society,2021
"Case-study, Ethnography, Observational",Low resource level,"Locus of control, Self-efficacy",Educational achievement,So That We Do Not Fall Again,2015
"Ethnography, First-hand observations","Low resource level, Social environment","Stress, Internalized stigma","Family interaction, Parenting","<scp>C</scp>alifornian Strawberries: <scp>M</scp>exican Immigrant Women Sharecroppers, Labor, and Discipline",2013
"Case-study, Ethnography",Low resource level,"Internalized stigma, Depression",Family interaction,"Leisure, Art, and Advocacy: Opportunities for Conscientizaçao, Contentious Dialogue, and Social Justice",2019
"Observational, Interviews, Focus groups","Low resource level, Social environment","Self-efficacy, Self esteem",Crime,Cash plus programming and intimate partner violence: a qualitative evaluation of the benefits of group-based platforms for delivering activities in support of the Ethiopian government’s Productive Safety Net Programme (PSNP),2023
"Observational, Longitudinal / Panel","Low resource level, Physical environment","Aspirations, Self-efficacy",Educational achievement,The power of light: socio-economic and environmental implications of a rural electrification program in Brazil,2017
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,Consumption,Measuring Fuel Poverty in Italy: A Comparison between Different Indicators,2019
"Observational, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Family interaction,Ignoring rights is wrong: re-politicizing gender equality and development with the rights-based approach,2016
Observational,Human capital inputs,"Memory, Working memory",Educational achievement,The UCI EyeMobile Preschool Vision Screening Program: Refractive Error and Amblyopia Results from the 2019–2020 School Year,2022
"Observational, Interviews","Low resource level, Social environment",Aspirations,Educational achievement,How Senegal created an enabling environment for nutrition: A story of change,2017
"Observational, Cross-sectional",Low resource level,Time preferences,Medication adherence,"Patient-level cost of home- and facility-based child pneumonia treatment in Suba Sub County, Kenya",2019
"Observational, First-hand observations","Low resource level, Social environment",Stress,Medication adherence,Diabetes Management For Low-Income Patients In Los Angeles: Two Strategies Improved Disease Control In The Short Term,2012
"Observational, Interviews","Low resource level, Social environment",Internalized stigma,"Family interaction, Parenting",Revisiting and Rethinking the Agency of Women in Sustainable Rural Development in the Eastern Cape South Africa,2022
Observational,"Low resource level, Resource volatility",Aspirations,Investing,Poverty strategy by extension of expanding creative economy,2018
"Observational, Case-study, Interviews","Low resource level, Social environment","Self-efficacy, Aspirations",Family interaction,It Takes a Faucet: Realizing Village Development Through Water and Sanitation Initiatives (Innovations Case Narrative: Gram Vikas),2009
Cross-sectional,Low resource level,Memory,Educational achievement,Collateral Ownership as A Stepping Stone to Formal Credit Accessibility: A Perspective of Cottage Industry Owners,2025
Observational,Low resource level,"Anxiety, Stress",Labor Supply,Employment Barriers for Persons With Psychiatric Disabilities: Update of a Report for the President's Commission,2006
"Observational, Interviews","Low resource level, Social environment","Internalized stigma, Locus of control",Occupational choice,EMBEDDING THE COLOR LINE: The Accumulation of Racial Advantage and the Disaccumulation of Opportunity in Post-Civil Rights America,2005
"Observational, Interviews","Low resource level, Physical environment","Anxiety, Stress, Internalized stigma",Medication adherence,Intra-household Variation in Pathways to Care for Epilepsy and Mental Disorders in Eastern Uganda,2021
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress","Consumption, Food diet",Vulnerability of women living with HIV/aids,2014
"Observational, Cross-sectional","Low resource level, Social environment",Stress,Educational achievement,Students are humans too: Psychosocial vulnerability of first-year students at the University of Johannesburg,2017
"Observational, Case-study",Low resource level,"Locus of control, Risk preferences",Labor Supply,The Solution Space: Developing Research and Policy Agendas to Eliminate Employment-Related Health Inequalities,2010
"Interviews, Focus groups",Low resource level,Aspirations,Occupational choice,"Entrepreneurial ecosystems in Poland: panacea, paper tiger or Pandora’s box?",2019
"Observational, Interviews",Low resource level,"Aspirations, Self-efficacy",Labor Supply,The role of small enterprises in achieving sustainable development,2024
Observational,Low resource level,Internalized stigma,Food diet,Representasi Afrika dalam Lagu “Do They Know It’s Christmas?” oleh Band Aid” (1984),2024
"Observational, Cross-sectional","Low resource level, Physical environment",Happiness,Consumption,"Sustainable Urbanisation and Community Well-Being in Suburban Neighbourhoods in Beijing, China",2019
"Observational, Case-study, Interviews",Low resource level,"Anxiety, Stress",Crime,"“Ye Are Many, They Are Few”: Nonviolence as Response to Oppression and Repression in the Poetry of Percy Bysshe Shelley",2020
Interviews,"Low resource level, Resource volatility, Human capital inputs",Self-efficacy,Labor Supply,"The utterly unforeseen livelihood shock:<scp>COVID</scp>‐19 and street vendor coping mechanisms in Hanoi, Chiang Mai and Luang Prabang",2021
"Observational, First-hand observations","Low resource level, Physical environment","Happiness, Stress",Exercise,Developing a novel health and well-being service: The value of utilising the restorative benefits of nature in the UK,2011
"Observational, Cross-sectional","Low resource level, Human capital inputs",Aspirations,Consumption,Determinants of household food security in rural Bangladesh: an imperial analysis of farm level data,2020
Observational,Low resource level,Internalized stigma,Medication adherence,"Disclosure of HIV status and its impact on the loss in the follow-up of HIV-infected patients on potent anti-retroviral therapy programs in a (post-) conflict setting: A retrospective cohort study from Goma, Democratic Republic of Congo",2017
"Observational, Cross-sectional","Low resource level, Physical environment","Aspirations, Self-efficacy",Food diet,Nutritional Awareness and Dietary Practices by Farm Women: An Empirical Study,2020
"Observational, Interviews",Low resource level,Aspirations,Educational achievement,"Experiences of Learners Who Are Incarcerated With Accessing Educational Opportunities in Ontario, Canada",2023
"Observational, Interviews",Social environment,Locus of control,Educational achievement,Civic Engagement in Adolescents: Engendering Civic Awareness Through a University Youth Program,2010
Observational,Low resource level,Risk preferences,Saving,Banking on Death or Investing in Life: The History and Future of Pensions,2005
"Cross-sectional, Interviews",Low resource level,"Self-efficacy, Self esteem",Educational achievement,The Reality of the role of Jordanian Universities In Promoting Moderate Ideologies among Students Based on Amman Message,2020
Observational,"Low resource level, Physical environment",Risk preferences,Investing,Informal Urban Property Markets and Poverty Alleviation: A Conceptual Framework,2007
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Self-efficacy","Investing, Labor Supply, Saving",Small and Medium Scale Enterprises as A Survival Strategy for Employment Generation in Nigeria,2011
"Observational, Case-study",Low resource level,"Anxiety, Depression, Stress",Crime,Problem Gambling: A Suitable Case for Social Work?,2013
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Consumption,"Substance use referral, treatment utilization, and patient costs associated with problematic substance use in people living with HIV in Cape Town, South Africa",2022
"Observational, Cross-sectional","Low resource level, Resource volatility","Stress, Risk preferences","Consumption, Medication adherence",Immigrant Children's Reliance on Public Health Insurance in the Wake of Immigration Reform,2008
"Observational, Case-study","Low resource level, Social environment","Self-efficacy, Self esteem","Occupational choice, Parenting","Women’s Leadership Trends in Tribal Enterprises-A Study in Cooperatives Based Tribal Enterprises in Jharkhand, India",2022
Observational,"Low resource level, Resource volatility","Self-efficacy, Time preferences","Consumption, Educational achievement",Exposure to mass media family planning messages among post-delivery women in Nigeria: testing the structural influence model of health communication,2019
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,"Consumption, Food diet",When water is scarce: the perception of water quality and effects on the vulnerable,2013
"Observational, First-hand observations, Interviews, Focus groups","Low resource level, Physical environment","Stress, Self-efficacy",Medication adherence,From HIV diagnosis to treatment: evaluation of a referral system to promote and monitor access to antiretroviral therapy in rural Tanzania,2009
"Observational, Longitudinal / Panel","Low resource level, Social environment","Stress, Self-efficacy",Educational achievement,Neighbourhood assets and early pregnancy cardiometabolic risk factors,2019
"Observational, Case-study, Interviews","Low resource level, Physical environment",Self-efficacy,Medication adherence,Integrated Community Education Model: Breast Health Awareness to Impact Late-Stage Breast Cancer,2011
